"genero","idade","curso","periodo","satisfacao","abandono","animacao","descrente potencial","descrente estudos","possui dificuldade"
"Masculino","de 21 a 25","Design","4","Concordo parcialmente","Concordo parcialmente","Indiferente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente"
"Feminino","de 21 a 25","Design","5","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Discordo parcialmente","Discordo completamente","Concordo parcialmente"
"Feminino","de 21 a 25","Design","6","Discordo completamente","Discordo completamente","Discordo completamente","Indiferente","Concordo parcialmente","Concordo completamente"
"Feminino","de 16 a 20","Design","4","Concordo completamente","Discordo completamente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente"
"Masculino","de 21 a 25","Medicina","11","Concordo parcialmente","Discordo parcialmente","Concordo completamente","Concordo parcialmente","Discordo completamente","Concordo completamente"
"Feminino","de 21 a 25","Medicina","6","Concordo completamente","Discordo completamente","Concordo completamente","Concordo parcialmente","Discordo completamente","Concordo parcialmente"
"Feminino","de 21 a 25","Design","6","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Concordo completamente","Discordo completamente","Concordo completamente"
"Feminino","de 16 a 20","Design","2","Discordo parcialmente","Concordo parcialmente","Discordo parcialmente","Discordo parcialmente","Concordo parcialmente","Discordo parcialmente"
"Masculino","de 16 a 20","Design","3","Concordo completamente","Discordo completamente","Concordo parcialmente","Concordo completamente","Discordo completamente","Concordo parcialmente"
"Feminino","de 16 a 20","Design","3","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Concordo completamente","Discordo parcialmente","Discordo parcialmente"
"Feminino","de 21 a 25","Design","4","Concordo parcialmente","Discordo parcialmente","Discordo parcialmente","Concordo completamente","Discordo parcialmente","Concordo completamente"
"Masculino","de 21 a 25","Arquitetura e Urbanismo","9","Discordo parcialmente","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente","Discordo parcialmente","Discordo parcialmente"
"Feminino","de 21 a 25","Medicina","6","Concordo parcialmente","Concordo parcialmente","Indiferente","Discordo completamente","Discordo parcialmente","Discordo parcialmente"
"Masculino","de 21 a 25","Medicina","9","Concordo completamente","Discordo completamente","Concordo completamente","Discordo completamente","Discordo completamente","Discordo parcialmente"
"Feminino","de 21 a 25","Design","7","Discordo parcialmente","Concordo parcialmente","Indiferente","Concordo completamente","Concordo parcialmente","Concordo parcialmente"
"Feminino","de 21 a 25","Design","4","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Concordo completamente","Concordo parcialmente","Concordo parcialmente"
"Masculino","de 21 a 25","Ciência da Computação","11","Indiferente","Discordo completamente","Indiferente","Concordo parcialmente","Discordo completamente","Indiferente"
"Masculino","de 21 a 25","Ciência da Computação","7","Concordo parcialmente","Discordo completamente","Concordo completamente","Indiferente","Discordo completamente","Discordo parcialmente"
